tweet,Polarity,Subjectivity,sentiment
president  didnt fire jeff sessions the day after  midterms     because he s afraid of you   trump fired him today because now he s coming for you   hillary obama comey mccabe dws podesta clapper brennan strzok page ohr lynch holder abedin soros jarrett kerry rice,-0.6,0.9,negative
lucy mcbath  a georgia gun control activist whose    year old son jordan davis was shot dead by a white man over claims he was playing music too loudly in a car  was elected to congress  beating gop rep  karen handel   midterms    ,0.0,0.35000000000000003,neutral
holy crap   florida voter films  browardcounty election officials transferring ballots in rented truck on election night   video   voterfraud  rednationrising  maga  kag  midterms    ,-0.8,0.8,negative
an observation   midterms      arizona   florida   georgia  montana     lots of  suddenly found  votes  almost always overwhelmingly democrat votes  shades of  newhampshire       i m beginning to suspect that this may not be by accident   ,0.25,0.75,positive
 chads getting bigger  stealingelections      midterms    ,0.0,0.5,neutral
did you vote provisionally     you have   days from the election to  cure  your vote  that means  to take an approved photo id to your county voter registrar      midterms      harrisvotes  houvote,0.0,0.0,neutral
we did it    on the latest  strangedayspodcast  explains the importance of what  wethepeople just did in the  midterms     to  savedemocracy    amp  why  firing of  means the battle to  saveamerica must continue  ,0.5,0.9,positive
   gerrymandering has backfired for republicans in dallas county    republicans had hoped to keep a majority of texas house seats there when they redrew district boundaries    now  they hold onto only two of        midterms      election      txlege,0.0,1.0,neutral
andrew gillum narrowly lost to republican ron desantis in florida s gubernatorial race  but a ballot initiative might give democrats the upper hand in future elections   midterms    ,-0.06666666666666667,0.17500000000000002,negative
one of the big stories of the night is how well  did in the affluent  fast growing dallas   fort worth suburbs   txsen  electionnight   denton county  romney       gt  trump       gt  cruz    collin county  romney       gt  trump       gt  cruz   ,0.2875,0.4375,positive
breaking  democrats just flipped  nm   from  redtoblue    big congratulations to congresswoman elect   midterms      electionresults    ,0.4,0.5,positive
this is why we re suing  briankemp  learn more about our lawsuit here    electionday  electionnight  midterms      georgia,0.5,0.5,positive
tonight  join us on  the boiler room  as we delve into what s been a wild week  midterms      thousandoaksshooting  trump  acosta    livestreaming kicks off just after  pm cst  amp  we ll have great  music before the show  so jump into our chatroom on,0.45,0.575,positive
there is an old maxim   campaigning is easy  governing is hard   in  healthcare  we re going to get to see if house democrats can convert campaigning to governing   our  on the  midterms     results via,0.08055555555555555,0.525,positive
   now democrats are in a position to speak in congress without having to rely on their thuggish minions of the street    midterms    ,0.0,0.0,neutral
  focus    patience    timing    accuracy  pandas don t have any of them     please  stayinline       midterm      votingmatters  electionnight  justvoted,0.0,0.0,neutral
caught  a broward county  florida citizen sees ballots being transported in private vehicles  amp  transferred to rented truck on  electionnight  this violates all chain of custody requirements for paper ballots  speculation about what happened to the ballots ,0.0,0.375,neutral
folks  keep talking about what s going on in florida  georgia and arizona  broward county s brenda snipes is trying to steal the election for democrats   electionnight  floridarecount,0.0,0.0,neutral
murfreesboro  peaceful protest outside of courthouse ends in song   midterms      protectmueller  nooneisabovethelaw,0.125,0.275,positive
wondering what will happen to  srhr after  midterms      join us on december    as we launch our srhr index to find out ,0.0,0.0,neutral
           vs       in dallas county in texas       midterms      election      tx      txlege,0.0,0.0,neutral
 florida sen  something very odd is going on in these two democratic counties  voterfraud  rednationrising  maga  kag  midterms    ,-0.21666666666666667,0.325,negative
the hidden story in  georgia is the fight over the provisional ballots  something that didn t even exist until after the election was stolen in  florida in         electionday  midterms      votingrights,-0.16666666666666666,0.3333333333333333,negative
to the republicans trying to gloat  the blue wave happened  taking the house was all we needed for a huge leap forward under a far right president and campaign  you can keep your senate  but this step forward was all we needed   bluewave      bluewave  electionday  electionnight,0.19642857142857145,0.6339285714285714,positive
there s everything to love about this picture      auspol  midterms    ,0.5,0.6,positive
 transcendent   the year s best transgender speculative fiction just came out last week    please help me get the word out  now that the  midterms     are over    can we get to     rts   from publisher   amazon    assoc  link ,0.5,0.18333333333333332,positive
sometimes i hate being right  this morning we said that purged voters  provisional  placebo  ballots could decide the  georgia governor s race    and today we spoke to two such ga voters who s been forced to vote on provisional ballots      electionnight,-0.2035714285714286,0.5339285714285714,negative
    and now it s       republicans hold onto two of the    seats  they used to hold       midterms      election      tx      txlege,0.0,0.0,neutral
coming soon  trump s third scotus nomination   midterms      ginsburg  americafirst  maga  winning,0.25,0.375,positive
voter suppression targets minority communities  amp  dem votes  so why is democratic party not making this front  amp  center of elections  why is  alone raising the issue of    s of thousands being purged  amp  raising money to sue these states w  no dnc help   midterms    ,-0.1,0.1,negative
not one american flag in site     draped in the palestinian flag  radical rashida tlaib   st palestinian muslim congresswomen  proclaims victory  gop allowed rashida who has expressed hatred towards jews  campaigns with hamas linked cair  amp  radicals to run unopposed  electionnight,0.0,0.0,neutral
democrats snatching back the house from the republicans  electionnight,0.0,0.0,neutral
our director  writes in  about the dramatic increase in youth turnout in the  midterms    ,-0.4333333333333333,0.6,negative
greatest democracy in the world    midterms      usmidtermelections,1.0,1.0,positive
trump clashed with reporters at a press conference that was meant to be on the  midterms     results    and things became slightly chaotic ,-0.16666666666666666,0.16666666666666666,negative
  hr poll  do you think  jimacosta deserved to loose his hard pass for the  whitehouse and is now banned from the property    please vote and retweet to spread poll for a wider sampling from both sides thanks     resist  maga  electionday  midterms      wednesdaymotivation,-0.0561965811965812,0.33696581196581193,negative
let s get to work y all   electionnight,0.0,0.0,neutral
trump makes history by adding seats to gop senate majority in  midterms        conservative judicial appointments continue         cannot be removed even if democrats impeach    midterms    ,0.0,0.0,neutral
  ladies and gents  the united states democrats  terrorists       wethepeople  usa  qanon  potus  fakenews   maga  wwg wga  walkaway  trump   blexit  thursdaymotivation  electionday  midterms       notoriousrbg  tuckercarlsonattack  ,0.0,0.0,neutral
mission accomplished   paulryan  you delivered for the gop swamp   the trump trashing media  amp  your cheap labor puppet masters   you wanted democrats to take the house so they would investigate  amp  impeach   amp  block the trump agenda  we will not forget  midterms    ,0.30000000000000004,0.6,positive
 electionnight night produced a number of victories for pampac supported candidates  here s a recap   paelection,0.0,0.0,neutral
if andrew gillum doesn t win florida       electionnight,0.8,0.4,positive
following the midterms  forrest gump makes an observation      midterms      forrestgump  thursdaythoughts  foxnews  caravan  resist  trump   u  tcot  maga  kag  qanon  wwg wga  mapoli  theresistance,0.0,0.1,neutral
fox   is your local election headquarters   we were proud to cover the issues and races that mattered to you on  electionnight     nwark   nwanews   arpx   nexstarnation,0.4,0.5,positive
 almost     of  latinos surveyed in a national poll had not received any sort of communication or information from a candidate        sonjad az  check out  coverage on the  latinovote in the  midterms      featuring  here ,0.0,0.0,neutral
just two days after the  midterms     hundreds have gathered outside the white to reassure trump that he is not   above    the    law     trumpisnotabovethelaw  protectmuellernow,0.0,0.05000000000000001,neutral
    the lesson is you can get too clever in gerrymandering   said michael li  a redistricting expert with the brennan center for justice at new york university     midterms      election      tx      txlege,0.06767676767676767,0.46262626262626266,positive
is the worst of  fakenews   you re a true criminally  conspiracy goon who can be charged with  tort  amp   slander for lying about info wars    i m done with you   cancelled my cable   your  midterms     coverage was the final straw   yousuckfoxnews ,-0.2625,0.8,negative
thoughts on  midterms       isn t demanding recounts  but accepting his close defeat with class  amp  grace    democrats  and  billnelson should do the same     then again what do democrats know about class  amp  grace   remember how they treated  brettkavanaugh,0.0,0.125,neutral
happy with how the  midterms     went for him  amp  the  republican party  the  did gain seats in the  senate  but lost the house of representatives to the  democrats  this seems to have the  liarinchief in a foul mood  amp  looking for a fight  he got what he wanted  during the,0.8,1.0,positive
the  pressconfernece held by the  unindictedcoconspirator  showed us that the  midterms     was a failure  amp  not a near complete victory as he falsely stated  as he stood behind the podium with is badly done orange spray tan he showed his true colors by throwing,-0.20238095238095236,0.530952380952381,negative
everyone be safe out in these streets tonight      protectmueller  gotv  bluewave  bluewave      midterms      midterms  midtermelections vote  govote  theresistance  notmypresident  freepress  jeffsessions  impeachtrump  resist  resistance,0.5,0.5,positive
 nextlevel episode      the kai ropractor is up  this week  a few words on the recent  impactattack interview with    nxtandcrumpets   nxtrecap    on racism   midterms       banned from the w h  and more ,0.09999999999999999,0.2833333333333333,positive
massachusetts  transgender community and its allies have scored a major victory   midterms      via,0.0625,0.5,positive
rainbow wave   it is the end of one party rule in the united states and the beginning of a new democratic party     younger  browner  cooler  more women  more veterans    midterms  midterms      bluewave  rainbowwave,0.28409090909090906,0.36363636363636365,positive
   by anthony ellison    trump  midterms    ,0.0,0.0,neutral
democrat kendra horn swipes gop stronghold in oklahoma s  th district and   more  electionnight surprises,0.5,0.5,positive
senator ted cruz thanks supporters in the wake of reelection victory     oann  midterms    ,0.2,0.2,positive
i love the color red  sing it with me ted cruz for the win   bye bye beto  god bless texas  we should build a beautiful bright red wall  electionnight  electionresults,0.47500000000000003,0.4666666666666666,positive
women made  herstory  what an historic  midterms      womensupportingwomen,0.0,0.0,neutral
how can republicans in the northeast bounce back after a tough  midterms       mercury s  sheds light on the need for the  gop to diversify and expand its brand  read more in the,0.12777777777777777,0.5083333333333333,positive
 that we have the vote means nothing  that we use it in the right way means everything    fbr  midterms    ,0.2857142857142857,0.5357142857142857,positive
at least    midterm races still uncalled   midterms    ,-0.3,0.4,negative
 browardcounty elementary teacher finds box labeled  provisional ballots  left behind after election day    wth   voterfraud  rednationrising  maga  kag  midterms    ,-0.03333333333333335,0.5333333333333333,negative
the    th congress made history  some firsts     st native american congresswomen     st muslim congresswomen    st black congresswoman from connecticut     st black congresswoman from massachusetts     st openly gay man elected governor   midterms    ,0.020833333333333343,0.36250000000000004,positive
couldn t watch  had to draw  this is for all the women elected to the house tonight   askmeaboutmyfeministagenda  electionnight  mockingbird,0.0,0.0,neutral
breaking   youthvote turnout for  midterms     higher than any midterm election in a quarter century ,0.25,0.5,positive
muslim  refugee  caught making bombs for assassination  terror attack   media covers up story  midterms      via,0.0,0.0,neutral
new  texas gop s hard right gets a  wakeup call  after a tough election night   midterms      election      tx    ,-0.06461940836940838,0.591314935064935,negative
black women voted     for beto  white women did what white women do   electionnight,-0.05555555555555555,0.14444444444444446,negative
  didn t only run against  she ran against all of the tactics of white supremacy    voter suppression  corruption  fear mongering  misogyny  racism  white women     electionnight   ,0.0,0.3333333333333333,neutral
business journalists love charts and graphs  here s a great one about pizza  newsrooms and  electionnight ,0.65,0.675,positive
will you be there when we make history      join the movement that will guarantee health care for all      register for  november   th national strategy call to win  medicareforall      midterms      thursdaythoughts  election    ,0.8,0.4,positive
more local news  midterms      gil cisneros campaign alleges latino vote suppression efforts in close race,0.25,0.25,positive
when a white man publicly calls a black man a monkey  accepts money from open an racist who calls the  st black potus a  muslim n gger   speaks for white supremacist organizations and white floridians still vote for him  don t tell me america isn t racist    flgov   electionnight,-0.04791666666666666,0.17916666666666667,negative
recount needs to happen florida  the gop new desantis wasn t going to be able to finish the job so of course they had to cheat   this is shameful   midterms       gillum  floridarecount,0.3181818181818182,0.5397727272727273,positive
the  midterms     show trump might not get re elected in          ajopinion,0.0,0.0,neutral
cheetos makes chips for liberals after midterms  how sweet      midterms      cheetos  snowflakes,0.35,0.65,positive
    rampant republican  voterfraud in       midterms    midterms       see the tweets of voters and observers revealing how the republicans  cheated ,0.0,0.0,neutral
we did it  thanks to all of you  we flipped the u s  house  voters sent them a decisive message  fight for our reproductive health and rights or lose your job   electionnight,0.2,0.2,positive
now that the midterms are over in the u s    let s get back to business                cdnpoli  midterms    ,0.0,0.0,neutral
koch s new super pac loses six of nine incumbents in key targeted house races  via   kochbrothers  midterms    ,0.04242424242424242,0.5553030303030303,positive
needs an investigation for sure   and i suspect shenanigans in other states also   potus    qanon  maga  infowars  midterms    ,0.1875,0.6319444444444444,positive
how much of a role did gerrymandering play in the  midterms      north carolina democrats won       of the statewide vote  but only got     of the state s congressional seats  gerrymandering is why   fairmaps,0.1,0.6,positive
what the hell is going on in this country    borderlineshooting   trumpisnotabovethelaw   gunreformnow   resist   trump  midterms       voteblue   vote  electionresults       thousandoaks   trumppressconference   trumpliesmatter   resistance  muellerinvestigation   russia  maddow,0.0,0.0,neutral
 beto         i can think of nothing more american than to peacefully stand up  or take a knee  for your rights  any time  anywhere  in any place    electionnight   electionresults,0.25,0.3333333333333333,positive
  is committed to making sure that  midterms     are the most secure elections in us history  find out what we are doing to secure your vote today  electionday ,0.44999999999999996,0.6472222222222223,positive
dear  maga  amp   qanon fam     if you re feeling down about  midterms      amp   sessions resignation  then please allow me to share some info to lift your spirits            some insights from  thomaswictor re   hatchetman matthew g  whitaker       whoisq,-0.15555555555555559,0.2888888888888889,negative
florida  if you submitted a provisional ballot on tuesday  call                now  the deadline is   p m  today  make sure your vote counts   floridaelection  floridarecount  midterms    ,0.5,0.8888888888888888,positive
not    but two muslim american congresswomen officially win tonight   congratulations to rashida tlaib out of michigan  and ilhan omar out of minnesota    herstory  electionnight,0.4,0.2,positive
why is it  thehaves are always  poking  prodding  amp   shaming  thehavenots to  theballotbox  electionnight after  electionday    year in  year out   are they paid for making public  advisories or they so  believe in  voting do it   free  imo  ancestors also  misguided died in vain,0.2,0.43333333333333335,positive
georgia voting machines fail in majority black neighbourhoods sparking voter suppression claims          midterms      georgia  staceyabrams  votersuppression   sun      ae         hope   ,-0.3333333333333333,0.36666666666666664,negative
 wednesdaywisdom so  presidenttrump  amp  his administration lost the house majority in  midterms      when you look at the statistics      didn t do too bad for a  st term president      no surprise that    lost the most after only his  st   yrs in office   presidenttrumprocks,-0.06666666666666661,0.7222222222222222,negative
while democrats  failed to regain the senate  this certainly feels like a rainbow wave    midterms      via,-0.14285714285714285,0.4357142857142857,negative
change is afoot     midterms      trump  potus  metoo  voters  congress  taxreturns  emoluments,0.0,0.0,neutral
   live  midterms  republican senate candidate rick scott s lead is shrinking by the minute against his opponent senate candidate  democrat bill nelson  currently  only         votes between the two candidates  still a narrow lead for scott  r  developing     midterms    ,-0.02121212121212122,0.6333333333333333,negative
this is how petty assed a bunch of cheaters republicans are  i m still register gop  b c i feared they d find a way to disqualify my ballot if i changed parties before  midterms       my grandson is registered democrat  i got a sample ballot in the mail  he did not   ,0.0,0.0,neutral
judge sides with florida gop in absentee ballot dispute with broward county  fraud  electionnight,0.0,0.0,neutral
this is what they   think       walkaway  electionnight  electionresults  trump      maga  blexit  midterm    ,0.0,0.0,neutral
some good news  at least   midterms      trump  clinton  obama,0.19999999999999998,0.5,positive
